中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.46.188.190,443,2a09:bac5:a5fc:1ed2::312:2b,US,Toronto,隧道,82 ms,116 Mbps,14848 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,55 ms,368 Mbps,47104 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,43 ms,1680 Mbps,215040 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,40 ms,1840 Mbps,235520 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,40 ms,44 Mbps,5743 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,9 ms,617 Mbps,79052 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,69 Mbps,8838 kB/s
43.153.80.208,443,43.153.80.208,1528 Mbps,195584 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d2:a1,US,San Jose,隧道,44 ms,83 Mbps,10649 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,44 ms,1472 Mbps,188416 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,3 ms,1680 Mbps,215040 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,34 ms,343 Mbps,43929 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,62 ms,649 Mbps,83148 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,41 ms,690 Mbps,88371 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,49 ms,1144 Mbps,146432 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,89 ms,864 Mbps,110592 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,28 ms,355 Mbps,45465 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,64 ms,31 Mbps,4070 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,100 ms,452 Mbps,57856 kB/s
