中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.46.188.190,443,2a09:bac5:a5fc:1ed2::312:2b,US,Toronto,隧道,17 ms,125 Mbps,16076 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,86 ms,233 Mbps,29900 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,71 ms,49 Mbps,6320 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,79 ms,255 Mbps,32665 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,23 ms,484 Mbps,61952 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,65 ms,652 Mbps,83456 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,71 ms,345 Mbps,44236 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,65 ms,320 Mbps,41062 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,69 ms,300 Mbps,38502 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,172 ms,322 Mbps,41267 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,56 ms,107 Mbps,13721 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,76 ms,321 Mbps,41164 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,84 ms,226 Mbps,28979 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,73 ms,305 Mbps,39116 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,73 ms,3 Mbps,456 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,73 ms,396 Mbps,50688 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,67 ms,46 Mbps,5989 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,28 ms,372 Mbps,47718 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,162 ms,100 Mbps,12800 kB/s
138.3.254.39,443,138.3.254.39,,colo.txt:Frankfurt,中转,0 ms,245 Mbps,31436 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,63 ms,360 Mbps,46182 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,89 ms,252 Mbps,32358 kB/s
43.153.80.208,443,43.153.80.208,,colo.txt:San Jose,中转,0 ms,331 Mbps,42393 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,45 ms,66 Mbps,8555 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,204 ms,301 Mbps,38604 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,64 ms,175 Mbps,22425 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,49 Mbps,6344 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,67 ms,335 Mbps,42905 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,86 ms,36 Mbps,4699 kB/s
129.146.7.98,443,2a09:bac5:60ed:1846::26b:1e,US,Los Angeles,隧道,72 ms,65 Mbps,8374 kB/s
129.153.126.67,443,2a09:bac5:60ea:78::c:38b,US,Los Angeles,隧道,75 ms,34 Mbps,4452 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,94 ms,45 Mbps,5857 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,119 ms,70 Mbps,9031 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,73 ms,173 Mbps,22220 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,89 ms,231 Mbps,29593 kB/s
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,101 ms,224 Mbps,28774 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,97 ms,107 Mbps,13721 kB/s
