中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,14 ms,848 Mbps,108544 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,32 ms,682 Mbps,87347 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,269 Mbps,34508 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,36 ms,667 Mbps,85401 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,410 Mbps,52531 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,117 ms,368 Mbps,47104 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::c:344,US,Los Angeles,隧道,52 ms,83 Mbps,10649 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,53 ms,84 Mbps,10854 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,53 ms,412 Mbps,52736 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,53 ms,424 Mbps,54272 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,125 ms,51 Mbps,6579 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,50 ms,381 Mbps,48844 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,106 ms,184 Mbps,23654 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,59 ms,425 Mbps,54476 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,67 ms,406 Mbps,52019 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,57 ms,420 Mbps,53862 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,51 ms,47 Mbps,6127 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,55 ms,15 Mbps,1925 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,68 ms,165 Mbps,21196 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,80 ms,402 Mbps,51507 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,106 ms,43 Mbps,5555 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,97 ms,300 Mbps,38400 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,49 ms,0 Mbps,37 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,75 ms,56 Mbps,7289 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,52 ms,191 Mbps,24473 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,109 ms,196 Mbps,25088 kB/s
152.70.53.38,443,2a0b:21c0:1007:1cb:0:3ed1:be2e:543b,DE,Frankfurt,隧道,109 ms,183 Mbps,23449 kB/s
43.153.80.208,443,43.153.80.208,,colo.txt:San Jose,中转,0 ms,14 Mbps,1902 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,180 Mbps,23040 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,97 ms,8 Mbps,1089 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,88 ms,292 Mbps,37478 kB/s
158.101.222.102,443,2606:f240:f00:83a7:0:f110:e997:93bd,US,Frankfurt,隧道,106 ms,158 Mbps,20275 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,83 ms,41 Mbps,5342 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,173 Mbps,22220 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,47 Mbps,6104 kB/s
152.70.123.224,443,152.70.123.224,US,San Jose,中转,90 ms,44 Mbps,5671 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,108 ms,190 Mbps,24371 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,204 ms,197 Mbps,25292 kB/s
132.226.31.178,443,2a09:bac5:60eb:1173::1bd:c7,US,Los Angeles,隧道,81 ms,49 Mbps,6342 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,179 ms,42 Mbps,5471 kB/s
144.24.37.146,443,104.28.205.110,US,Los Angeles,隧道,52 ms,50 Mbps,6443 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,104 ms,192 Mbps,24576 kB/s
131.186.28.236,443,131.186.28.236,KR,Seoul,中转,173 ms,39 Mbps,5107 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,175 ms,106 Mbps,13619 kB/s
134.65.59.100,443,134.65.59.100,GB,London,中转,101 ms,46 Mbps,5962 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,150 ms,118 Mbps,15155 kB/s
152.70.119.237,443,2a09:bac5:6442:28::4:2f7,US,San Jose,隧道,54 ms,38 Mbps,4889 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,215 ms,2 Mbps,292 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,197 ms,37 Mbps,4749 kB/s
150.230.221.148,443,150.230.221.148,JP,Osaka,中转,239 ms,59 Mbps,7626 kB/s
204.216.218.114,443,204.216.218.114,IT,Zurich,中转,120 ms,49 Mbps,6342 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,133 ms,132 Mbps,16896 kB/s
64.110.101.31,443,2a09:bac1:3b20:b8::300:12,JP,Osaka,隧道,200 ms,36 Mbps,4659 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,175 ms,90 Mbps,11571 kB/s
193.122.110.171,443,193.122.110.171,KR,Seoul,中转,170 ms,35 Mbps,4483 kB/s
140.238.49.181,443,2603:c021:8003:3d64:2a8:3763:7559:b922,JP,Tokyo,隧道,225 ms,48 Mbps,6219 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,100 ms,137 Mbps,17612 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,15 ms,743 Mbps,95129 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,57 ms,372 Mbps,47718 kB/s
54.203.85.46,443,204.110.220.138,US,,隧道,74 ms,310 Mbps,39731 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,71 ms,19 Mbps,2473 kB/s
3.138.59.154,443,3.130.64.226,US,,隧道,12 ms,732 Mbps,93798 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,99 ms,120 Mbps,15462 kB/s
204.110.220.3,443,204.110.220.206,US,,隧道,57 ms,331 Mbps,42393 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,59 ms,119 Mbps,15257 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,213 ms,70 Mbps,9064 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,305 ms,2 Mbps,359 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,14 ms,792 Mbps,101376 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,117 ms,105 Mbps,13516 kB/s
103.137.63.3,443,61.224.65.210,TW,,隧道,248 ms,88 Mbps,11264 kB/s
150.230.149.208,443,150.230.149.208,DE,,中转,109 ms,108 Mbps,13926 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,106 ms,54 Mbps,7002 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,271 ms,42 Mbps,5381 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,113 ms,202 Mbps,25907 kB/s
3.68.62.122,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,110 ms,186 Mbps,23859 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,109 ms,191 Mbps,24473 kB/s
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,108 ms,156 Mbps,19968 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,207 ms,3 Mbps,440 kB/s
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,109 ms,189 Mbps,24268 kB/s
18.159.105.97,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,110 ms,186 Mbps,23859 kB/s
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,109 ms,160 Mbps,20582 kB/s
43.205.48.107,443,43.205.48.107,IN,,中转,218 ms,56 Mbps,7200 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,81 ms,85 Mbps,10956 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,52 ms,48 Mbps,6191 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,56 ms,324 Mbps,41574 kB/s
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,117 ms,174 Mbps,22323 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,109 ms,170 Mbps,21811 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,105 ms,42 Mbps,5471 kB/s
