中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,238 ms,60 Mbps,7723 kB/s,7723.0
158.101.71.60,443,2603:c021:8003:daee:5055:b055:15ac:95a8,JP,Tokyo,隧道,278 ms,59 Mbps,7631 kB/s,7631.0
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,102 ms,57 Mbps,7377 kB/s,7377.0
124.156.202.172,443,124.156.202.172,SG,,中转,225 ms,57 Mbps,7321 kB/s,7321.0
204.216.218.114,443,204.216.218.114,IT,Frankfurt,中转,101 ms,52 Mbps,6721 kB/s,6721.0
193.123.81.105,443,193.123.81.105,AE,Milan,中转,285 ms,50 Mbps,6405 kB/s,6405.0
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,74 ms,48 Mbps,6251 kB/s,6251.0
129.159.130.38,443,129.159.130.38,IL,Paris,中转,129 ms,48 Mbps,6194 kB/s,6194.0
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,99 ms,48 Mbps,6178 kB/s,6178.0
155.248.202.141,443,155.248.202.141,US,San Jose,中转,75 ms,48 Mbps,6176 kB/s,6176.0
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,160 ms,47 Mbps,6130 kB/s,6130.0
130.162.184.173,443,130.162.184.173,GB,London,中转,84 ms,47 Mbps,6105 kB/s,6105.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,214 ms,45 Mbps,5887 kB/s,5887.0
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,90 ms,45 Mbps,5886 kB/s,5886.0
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,84 ms,45 Mbps,5840 kB/s,5840.0
152.70.112.158,443,152.70.112.158,US,San Jose,中转,89 ms,45 Mbps,5770 kB/s,5770.0
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,61 ms,44 Mbps,5714 kB/s,5714.0
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,95 ms,43 Mbps,5604 kB/s,5604.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,208 ms,43 Mbps,5592 kB/s,5592.0
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,153 ms,43 Mbps,5568 kB/s,5568.0
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,69 ms,43 Mbps,5528 kB/s,5528.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,42 Mbps,5481 kB/s,5481.0
207.127.94.174,443,207.127.94.174,SE,Oslo,中转,101 ms,42 Mbps,5405 kB/s,5405.0
152.67.231.219,443,152.67.231.219,US,San Jose,中转,74 ms,41 Mbps,5286 kB/s,5286.0
134.65.59.100,443,134.65.59.100,GB,London,中转,84 ms,41 Mbps,5255 kB/s,5255.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,205 ms,40 Mbps,5174 kB/s,5174.0
64.110.98.49,443,104.28.206.113,JP,Osaka,隧道,216 ms,40 Mbps,5172 kB/s,5172.0
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,374 ms,38 Mbps,4981 kB/s,4981.0
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,205 ms,38 Mbps,4963 kB/s,4963.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,221 ms,38 Mbps,4906 kB/s,4906.0
150.230.248.166,443,150.230.248.166,KR,Seoul,中转,185 ms,37 Mbps,4835 kB/s,4835.0
152.70.119.237,443,2a09:bac1:76a0:1cf0::1d2:56,US,San Jose,隧道,81 ms,37 Mbps,4771 kB/s,4771.0
129.153.126.67,443,2a09:bac1:76c0:e18::26b:a8,US,Los Angeles,隧道,240 ms,36 Mbps,4734 kB/s,4734.0
198.46.193.167,443,198.46.193.167,US,Dallas,中转,51 ms,36 Mbps,4643 kB/s,4643.0
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,213 ms,35 Mbps,4578 kB/s,4578.0
129.146.134.77,443,2a09:bac5:60ef:1846::26b:4a,US,Los Angeles,隧道,64 ms,35 Mbps,4561 kB/s,4561.0
