中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,10 ms,657 Mbps,84172 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,15 ms,92 Mbps,11776 kB/s
47.90.141.204,443,91.149.239.198,US,Los Angeles,隧道,19 ms,5 Mbps,699 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,195 Mbps,24985 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,24 ms,73 Mbps,9394 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,582 Mbps,74547 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,81 ms,345 Mbps,44236 kB/s
129.146.46.164,443,129.146.46.164,245 Mbps,31436 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,82 ms,353 Mbps,45260 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,79 ms,257 Mbps,32972 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,75 ms,353 Mbps,45260 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,72 ms,357 Mbps,45772 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,82 ms,43 Mbps,5563 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,100 ms,230 Mbps,29491 kB/s
129.146.7.98,443,2a09:bac5:60ef:1173::1bd:ed,US,Los Angeles,隧道,78 ms,77 Mbps,9951 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,100 ms,245 Mbps,31436 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,93 ms,301 Mbps,38604 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,94 ms,257 Mbps,32972 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,192 Mbps,24576 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,108 ms,231 Mbps,29593 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,87 ms,44 Mbps,5674 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,104 ms,288 Mbps,36864 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,100 ms,12 Mbps,1657 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,66 ms,312 Mbps,40038 kB/s
192.18.134.231,443,192.18.134.231,US,Los Angeles,中转,83 ms,271 Mbps,34713 kB/s
130.162.231.200,443,2a0b:21c0:100a:1b6:0:7cb2:3b15:3a5,DE,Frankfurt,隧道,100 ms,215 Mbps,27545 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,102 ms,250 Mbps,32051 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,100 ms,284 Mbps,36454 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,94 ms,248 Mbps,31846 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,99 ms,310 Mbps,39731 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,198 ms,112 Mbps,14438 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,98 ms,45 Mbps,5800 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,97 ms,269 Mbps,34508 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,66 ms,14 Mbps,1860 kB/s
