中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,16 ms,586 Mbps,75059 kB/s
34.82.76.253,443,34.127.98.139,US,Seattle,隧道,58 ms,472 Mbps,60416 kB/s
35.230.79.26,443,35.212.151.84,US,Seattle,隧道,54 ms,436 Mbps,55910 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,723 Mbps,92569 kB/s
35.197.23.75,443,35.212.151.84,US,Seattle,隧道,51 ms,523 Mbps,66969 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,22 ms,67 Mbps,8687 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,66 ms,357 Mbps,45772 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,58 ms,475 Mbps,60825 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,24 ms,74 Mbps,9564 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,52 ms,452 Mbps,57958 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,16 ms,1056 Mbps,135168 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,59 ms,292 Mbps,37478 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,110 ms,45 Mbps,5800 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,53 ms,334 Mbps,42803 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,208 Mbps,26624 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,111 ms,188 Mbps,24064 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,44 Mbps,5639 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,32 ms,1184 Mbps,151552 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,112 ms,240 Mbps,30720 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,122 ms,175 Mbps,22425 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,118 ms,39 Mbps,5089 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,122 ms,168 Mbps,21504 kB/s
193.123.61.156,443,2a0b:21c0:1007:1ca:0:e1d9:b30:55c0,DE,Frankfurt,隧道,127 ms,170 Mbps,21811 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,150 ms,150 Mbps,19251 kB/s
144.24.175.174,443,98.98.166.174,US,Frankfurt,隧道,138 ms,115 Mbps,14745 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,130 ms,52 Mbps,6709 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,174 ms,43 Mbps,5622 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,126 ms,47 Mbps,6067 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,138 ms,43 Mbps,5546 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,161 ms,160 Mbps,20582 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,223 ms,71 Mbps,9099 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,220 ms,2 Mbps,367 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,204 ms,37 Mbps,4763 kB/s
130.162.144.191,443,2a09:bac5:4731:155::22:eb,KR,Seoul,隧道,209 ms,33 Mbps,4265 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,193 ms,40 Mbps,5145 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:114,KR,Seoul,隧道,179 ms,81 Mbps,10444 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,226 ms,36 Mbps,4612 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,209 ms,93 Mbps,11980 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,227 ms,9 Mbps,1256 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,192 ms,38 Mbps,4927 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,185 ms,94 Mbps,12083 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,195 ms,38 Mbps,4935 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,236 ms,3 Mbps,468 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,128 ms,7 Mbps,911 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,230 ms,75 Mbps,9666 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,221 ms,1 Mbps,183 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,242 ms,40 Mbps,5209 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,234 ms,25 Mbps,3272 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,160 ms,0 Mbps,31 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,215 ms,33 Mbps,4282 kB/s
193.123.80.245,443,193.123.80.245,AE,Paris,中转,203 ms,26 Mbps,3376 kB/s
