中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.103.203,443,43.153.103.203,US,San Jose,中转,5 ms,1416 Mbps,181248 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,27 ms,896 Mbps,114688 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,19 ms,1544 Mbps,197632 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,18 ms,1136 Mbps,145408 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,32 ms,864 Mbps,110592 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,7 ms,912 Mbps,116736 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,19 ms,668 Mbps,85504 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,24 ms,944 Mbps,120832 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,14 ms,640 Mbps,81920 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,73 ms,27 Mbps,3475 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,88 ms,312 Mbps,40038 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,84 ms,302 Mbps,38707 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,110 ms,193 Mbps,24780 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,111 ms,41 Mbps,5339 kB/s
152.70.242.38,443,130.162.140.114,KR,Seoul,隧道,135 ms,125 Mbps,16076 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,115 ms,42 Mbps,5436 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,123 ms,42 Mbps,5399 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,155 ms,130 Mbps,16691 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,132 ms,165 Mbps,21196 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,154 ms,132 Mbps,16998 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,168 ms,128 Mbps,16486 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,130 ms,47 Mbps,6096 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,170 ms,100 Mbps,12902 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,162 ms,34 Mbps,4447 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,160 ms,43 Mbps,5518 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,96 Mbps,12390 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,175 ms,3 Mbps,458 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,147 ms,22 Mbps,2893 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,154 ms,38 Mbps,4956 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,190 ms,45 Mbps,5788 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,165 ms,48 Mbps,6236 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,201 ms,0 Mbps,23 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,169 ms,0 Mbps,24 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,1075 ms,85 Mbps,10956 kB/s
