中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,27 ms,800 Mbps,102400 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,46 ms,349 Mbps,44748 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,21 ms,480 Mbps,61440 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,54 ms,484 Mbps,62054 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,58 ms,267 Mbps,34201 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,57 ms,505 Mbps,64716 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,17 ms,618 Mbps,79155 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,130 ms,43 Mbps,5557 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,126 ms,212 Mbps,27238 kB/s
129.146.46.164,443,129.146.46.164,336 Mbps,43008 kB/s
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,442 Mbps,56627 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,193 Mbps,24780 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,59 ms,412 Mbps,52736 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,64 ms,22 Mbps,2822 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,55 ms,518 Mbps,66355 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,76 ms,563 Mbps,72089 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,27 ms,44 Mbps,5670 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,120 ms,183 Mbps,23449 kB/s
141.147.88.123,443,2606:f240:f00:46c4:0:9996:43c2:e32b,US,Frankfurt,隧道,137 ms,107 Mbps,13721 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,113 ms,44 Mbps,5690 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,215 Mbps,27545 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,102 ms,184 Mbps,23552 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,113 ms,42 Mbps,5500 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,102 ms,35 Mbps,4599 kB/s
193.123.177.168,443,2a0b:21c0:1007:cb:0:3725:30cf:9879,DE,Frankfurt,隧道,112 ms,197 Mbps,25292 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,62 ms,460 Mbps,58982 kB/s
