中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.226.106,US,Seattle,隧道,34 ms,632 Mbps,80896 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,43 ms,6 Mbps,882 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,37 ms,624 Mbps,79974 kB/s
35.230.79.26,443,35.212.226.106,US,Seattle,隧道,33 ms,640 Mbps,81920 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,37 ms,412 Mbps,52838 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,23 ms,747 Mbps,95641 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,34 ms,668 Mbps,85606 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,54 ms,61 Mbps,7935 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,33 ms,575 Mbps,73625 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,54 ms,400 Mbps,51302 kB/s
144.24.162.91,443,2606:f240:f00:46c4:0:6d4f:868a:1800,US,Frankfurt,隧道,126 ms,160 Mbps,20480 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,119 ms,49 Mbps,6364 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,142 ms,163 Mbps,20889 kB/s
3.112.21.102,443,3.112.21.102,JP,Hong Kong,中转,121 ms,226 Mbps,28979 kB/s
131.186.33.175,443,151.145.77.106,JP,Osaka,隧道,118 ms,176 Mbps,22528 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,140 ms,49 Mbps,6380 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,138 ms,148 Mbps,18944 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,128 ms,46 Mbps,5966 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,132 ms,27 Mbps,3567 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,136 ms,194 Mbps,24883 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,168 ms,36 Mbps,4729 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,190 ms,35 Mbps,4503 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,164 ms,42 Mbps,5451 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,192 ms,86 Mbps,11059 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,196 ms,38 Mbps,4937 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,128 ms,32 Mbps,4141 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,180 ms,0 Mbps,5 kB/s
