中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
140.238.126.249,443,2a0b:21c0:100a:1b2:0:3cbf:2a47:28da,DE,Frankfurt,隧道,128 ms,112 Mbps,14336 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,11 ms,185 Mbps,23756 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,72 ms,25 Mbps,3302 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,32 ms,440 Mbps,56422 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,40 ms,619 Mbps,79257 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,20 ms,90 Mbps,11571 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,32 ms,451 Mbps,57753 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,107 ms,241 Mbps,30924 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,68 ms,395 Mbps,50585 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,73 ms,7 Mbps,955 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,68 ms,368 Mbps,47104 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,425 Mbps,54476 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,227 Mbps,29081 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,47 ms,361 Mbps,46284 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,118 ms,46 Mbps,5993 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,70 ms,256 Mbps,32870 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,16 ms,6 Mbps,852 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d2:58,US,San Jose,隧道,91 ms,160 Mbps,20582 kB/s
129.146.168.102,443,104.28.237.112,US,Los Angeles,隧道,91 ms,37 Mbps,4817 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,71 ms,387 Mbps,49561 kB/s
129.146.111.62,443,129.146.111.62,US,Los Angeles,中转,75 ms,316 Mbps,40448 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,92 ms,44 Mbps,5703 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,78 ms,258 Mbps,33075 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,256 Mbps,32768 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,109 ms,276 Mbps,35430 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,77 ms,45 Mbps,5797 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,91 ms,212 Mbps,27136 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,104 ms,227 Mbps,29081 kB/s
152.70.56.107,443,2606:f240:f00:dd8d:0:6637:5218:a18a,US,Frankfurt,隧道,104 ms,132 Mbps,16998 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,111 ms,240 Mbps,30720 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,99 ms,327 Mbps,41881 kB/s
193.123.58.34,443,2a0b:21c0:100a:1b1:0:7dd7:e5ed:ba33,DE,Frankfurt,隧道,91 ms,228 Mbps,29286 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,77 ms,313 Mbps,40140 kB/s
144.21.41.136,443,2a0b:21c0:1007:1cb:0:d45a:d6f7:18e8,DE,Frankfurt,隧道,105 ms,233 Mbps,29900 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,130 ms,37 Mbps,4753 kB/s
132.226.31.178,443,2a09:bac5:60ec:183c::26a:90,US,Los Angeles,隧道,99 ms,27 Mbps,3533 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,114 ms,47 Mbps,6047 kB/s
141.144.227.227,443,2a0b:21c0:1007:c7:0:f5ec:a4ab:4f02,DE,Frankfurt,隧道,118 ms,126 Mbps,16179 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,177 ms,110 Mbps,14131 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,186 ms,0 Mbps,114 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,200 ms,112 Mbps,14336 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,212 ms,30 Mbps,3858 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,100 ms,262 Mbps,33587 kB/s
144.22.252.124,443,144.22.252.124,BR,S
