中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,409 Mbps,52428 kB/s
129.146.7.98,443,2a09:bac5:60ec:1846::26b:92,US,Los Angeles,隧道,25 ms,97 Mbps,12492 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,40 ms,710 Mbps,90931 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,15 ms,692 Mbps,88678 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,25 ms,2000 Mbps,256000 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,24 ms,48 Mbps,6252 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,81 ms,676 Mbps,86528 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,39 ms,1744 Mbps,223232 kB/s
152.70.97.78,443,152.70.97.78,JP,Tokyo,中转,162 ms,100 Mbps,12800 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,29 ms,373 Mbps,47820 kB/s
129.153.203.62,443,129.153.203.62,US,Los Angeles,中转,18 ms,436 Mbps,55808 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,21 ms,872 Mbps,111616 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,88 ms,74 Mbps,9519 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,29 ms,11 Mbps,1521 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,16 ms,408 Mbps,52224 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,31 ms,791 Mbps,101273 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,17 ms,1560 Mbps,199680 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,88 ms,71 Mbps,9209 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,380 Mbps,48742 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,200 Mbps,25600 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,23 ms,856 Mbps,109568 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,141 ms,34 Mbps,4479 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,61 ms,349 Mbps,44748 kB/s
152.70.38.121,443,217.142.149.56,KR,Seoul,隧道,133 ms,148 Mbps,19046 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,131 ms,150 Mbps,19251 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,73 ms,31 Mbps,3974 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,47 Mbps,6021 kB/s
192.9.158.188,443,104.28.201.73,US,San Jose,隧道,67 ms,257 Mbps,32972 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,146 ms,104 Mbps,13414 kB/s
152.70.232.151,443,152.70.232.151,KR,Seoul,中转,153 ms,29 Mbps,3742 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,106 ms,116 Mbps,14848 kB/s
141.147.107.161,443,98.98.156.18,DE,Frankfurt,隧道,156 ms,96 Mbps,12288 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,156 ms,40 Mbps,5234 kB/s
130.162.48.220,443,2606:f240:f00:2be4:0:2dd5:37fa:aec,US,Frankfurt,隧道,230 ms,115 Mbps,14745 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,130 ms,59 Mbps,7552 kB/s
144.21.53.157,443,2a09:bac5:3803:d2::15:423,GB,London,隧道,146 ms,5 Mbps,659 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,121 ms,45 Mbps,5850 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,144 ms,139 Mbps,17817 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,220 ms,108 Mbps,13824 kB/s
146.56.179.91,443,146.56.179.91,KR,Seoul,中转,143 ms,128 Mbps,16486 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,156 ms,101 Mbps,13004 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,133 ms,77 Mbps,9983 kB/s
146.56.41.215,443,146.56.41.215,KR,Seoul,中转,227 ms,124 Mbps,15872 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,145 ms,122 Mbps,15667 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,158 ms,103 Mbps,13209 kB/s
129.159.242.113,443,98.98.166.194,US,Frankfurt,隧道,158 ms,77 Mbps,9900 kB/s
193.123.34.24,443,2a0b:21c0:1007:cb:0:5440:da05:845,DE,Frankfurt,隧道,155 ms,98 Mbps,12595 kB/s
130.61.170.78,443,130.61.170.78,DE,Copenhagen,中转,161 ms,59 Mbps,7573 kB/s
146.56.161.138,443,146.56.161.138,KR,Seoul,中转,143 ms,117 Mbps,15052 kB/s
146.56.153.6,443,146.56.153.6,KR,Seoul,中转,135 ms,14 Mbps,1829 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,156 ms,84 Mbps,10854 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,240 ms,120 Mbps,15462 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,157 ms,110 Mbps,14131 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,181 ms,9 Mbps,1272 kB/s
132.226.206.10,443,2606:f240:f00:6acf:0:6a57:3281:e68b,US,Frankfurt,隧道,156 ms,111 Mbps,14233 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,143 ms,46 Mbps,5927 kB/s
132.226.7.222,443,132.226.7.222,JP,Tokyo,中转,159 ms,105 Mbps,13516 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,158 ms,112 Mbps,14336 kB/s
168.138.194.74,443,168.138.194.74,JP,Tokyo,中转,158 ms,101 Mbps,13004 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,159 ms,106 Mbps,13619 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,153 ms,115 Mbps,14745 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,199 ms,112 Mbps,14438 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,161 ms,4 Mbps,522 kB/s
152.70.55.37,443,2a0b:21c0:100a:1b1:0:790:2356:2ebc,DE,Frankfurt,隧道,155 ms,106 Mbps,13619 kB/s
152.70.48.166,443,2a0b:21c0:100a:1b0:0:a818:ccf9:c902,DE,Frankfurt,隧道,163 ms,100 Mbps,12902 kB/s
168.138.215.251,443,168.138.215.251,JP,Tokyo,中转,182 ms,31 Mbps,4086 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,154 ms,40 Mbps,5182 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,161 ms,104 Mbps,13312 kB/s
129.159.243.0,443,2606:f240:f00:83a7:0:2680:2f84:f9b9,US,Frankfurt,隧道,156 ms,100 Mbps,12800 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,158 ms,124 Mbps,15974 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,159 ms,106 Mbps,13619 kB/s
8.218.102.184,443,8.218.102.184,HK,Hong Kong,中转,174 ms,94 Mbps,12083 kB/s
158.101.210.238,443,2606:f240:f00:46c4:0:498b:3403:70d3,US,Frankfurt,隧道,156 ms,109 Mbps,14028 kB/s
140.238.23.148,443,2a09:bac5:4750:1a14::299:4f,KR,Seoul,隧道,228 ms,40 Mbps,5165 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,161 ms,112 Mbps,14438 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,131 ms,48 Mbps,6168 kB/s
141.147.161.58,443,141.147.161.58,JP,Tokyo,中转,233 ms,98 Mbps,12595 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,160 ms,41 Mbps,5263 kB/s
131.186.57.111,443,131.186.57.111,JP,Tokyo,中转,169 ms,88 Mbps,11366 kB/s
144.22.252.124,443,144.22.252.124,BR,S
