中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
47.254.17.234,443,47.254.17.234,US,San Jose,中转,77 ms,43 Mbps,5612 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,676 Mbps,86630 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,18 ms,88 Mbps,11264 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,51 Mbps,6538 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,47 ms,410 Mbps,52531 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,40 ms,281 Mbps,36044 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,66 ms,26 Mbps,3379 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,75 ms,112 Mbps,14336 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,80 ms,320 Mbps,40960 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,81 ms,73 Mbps,9461 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,186 ms,99 Mbps,12697 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,153 ms,257 Mbps,32972 kB/s
152.70.44.25,443,163.123.193.8,DE,Frankfurt,隧道,133 ms,229 Mbps,29388 kB/s
130.162.243.84,443,2a0b:21c0:100a:1b3:0:4c93:abc5:e65c,DE,Frankfurt,隧道,105 ms,133 Mbps,17100 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,70 ms,272 Mbps,34918 kB/s
35.197.23.75,443,35.197.116.110,US,Seattle,隧道,83 ms,325 Mbps,41676 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,72 Mbps,9253 kB/s
35.230.79.26,443,35.197.116.110,US,Seattle,隧道,74 ms,325 Mbps,41676 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,103 ms,212 Mbps,27136 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,110 ms,244 Mbps,31232 kB/s
150.230.34.116,443,150.230.34.116,US,San Jose,中转,91 ms,140 Mbps,18022 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,125 ms,198 Mbps,25395 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,114 ms,73 Mbps,9384 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,82 ms,42 Mbps,5431 kB/s
158.178.159.132,443,2a0b:21c0:1007:1c9:0:9667:412:4652,DE,Frankfurt,隧道,145 ms,230 Mbps,29491 kB/s
129.159.241.239,443,2a0b:21c0:1007:1c8:0:a770:e060:f33d,DE,Frankfurt,隧道,117 ms,124 Mbps,15974 kB/s
129.159.32.14,443,129.159.32.14,US,San Jose,中转,79 ms,263 Mbps,33689 kB/s
152.70.58.30,443,2a0b:21c0:100a:1b1:0:6183:80ef:8b8c,DE,Frankfurt,隧道,111 ms,125 Mbps,16076 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,89 ms,27 Mbps,3477 kB/s
130.162.188.71,443,2a0b:21c0:1007:1c8:0:fc39:731c:3a37,DE,Frankfurt,隧道,101 ms,120 Mbps,15360 kB/s
132.226.31.178,443,2a09:bac5:60ec:78::c:32f,US,Los Angeles,隧道,98 ms,46 Mbps,5889 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,90 ms,220 Mbps,28262 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,98 ms,1 Mbps,211 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,97 ms,45 Mbps,5807 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,106 ms,40 Mbps,5183 kB/s
141.147.75.27,443,2606:f240:f00:83a7:0:9510:d613:b8d8,US,Frankfurt,隧道,109 ms,238 Mbps,30515 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,209 ms,71 Mbps,9157 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,129 ms,242 Mbps,31027 kB/s
138.3.254.39,443,138.3.254.39,,,中转,0 ms,228 Mbps,29286 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,108 ms,412 Mbps,52838 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,110 ms,240 Mbps,30720 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,92 ms,30 Mbps,3947 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,183 ms,110 Mbps,14131 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,105 ms,246 Mbps,31539 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,92 ms,300 Mbps,38502 kB/s
