中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,16 ms,7 Mbps,931 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,14 ms,494 Mbps,63283 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,18 ms,92 Mbps,11776 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,48 ms,399 Mbps,51097 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,48 ms,409 Mbps,52428 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,459 Mbps,58777 kB/s
129.146.46.164,443,129.146.46.164,308 Mbps,39526 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,48 ms,440 Mbps,56422 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,50 ms,499 Mbps,63897 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,61 ms,440 Mbps,56320 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,106 ms,224 Mbps,28774 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,50 ms,533 Mbps,68300 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,115 ms,244 Mbps,31334 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,102 ms,50 Mbps,6445 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,114 ms,204 Mbps,26112 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,112 ms,45 Mbps,5828 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,145 ms,164 Mbps,20992 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,158 ms,29 Mbps,3726 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,157 ms,45 Mbps,5826 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,150 ms,41 Mbps,5372 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,194 ms,39 Mbps,5001 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,217 ms,9 Mbps,1265 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,225 ms,18 Mbps,2312 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,235 ms,42 Mbps,5437 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,194 ms,80 Mbps,10240 kB/s
