中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,920 Mbps,117760 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,10 ms,1776 Mbps,227328 kB/s
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,21 ms,1080 Mbps,138240 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,5 ms,1848 Mbps,236544 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,8 ms,1336 Mbps,171008 kB/s
35.197.23.75,443,35.212.241.9,US,Seattle,隧道,21 ms,880 Mbps,112640 kB/s
35.230.79.26,443,35.212.241.9,US,Seattle,隧道,23 ms,1048 Mbps,134144 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,24 ms,410 Mbps,52531 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,62 ms,356 Mbps,45568 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,67 ms,6 Mbps,851 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,113 ms,48 Mbps,6238 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,121 ms,243 Mbps,31129 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,145 ms,20 Mbps,2683 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,146 ms,46 Mbps,6011 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,118 ms,15 Mbps,1923 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,129 ms,44 Mbps,5692 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,167 ms,121 Mbps,15564 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,160 ms,32 Mbps,4109 kB/s
