中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.236.101,443,198.23.236.101,US,San Jose,中转,8 ms,705 Mbps,90316 kB/s
192.9.138.241,443,192.9.138.241,1664 Mbps,212992 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,22 ms,68 Mbps,8757 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,49 ms,335 Mbps,42905 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,1528 Mbps,195584 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,29 ms,960 Mbps,122880 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,47 ms,39 Mbps,5072 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,2 ms,0 Mbps,54 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1 ms,2016 Mbps,258048 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,31 ms,896 Mbps,114688 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,20 ms,495 Mbps,63385 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26b:1e,US,Los Angeles,隧道,55 ms,59 Mbps,7559 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,44 ms,928 Mbps,118784 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,26 ms,936 Mbps,119808 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,63 ms,416 Mbps,53248 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,14 ms,102 Mbps,13107 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,4 ms,610 Mbps,78131 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d3:56,US,San Jose,隧道,7 ms,67 Mbps,8671 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,7 ms,1344 Mbps,172032 kB/s
