中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,20 ms,660 Mbps,84480 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,77 ms,309 Mbps,39628 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,56 ms,344 Mbps,44134 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,27 ms,3 Mbps,434 kB/s
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,53 ms,467 Mbps,59801 kB/s
35.197.23.75,443,35.212.237.223,US,Seattle,隧道,56 ms,491 Mbps,62873 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,40 ms,518 Mbps,66355 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,39 ms,402 Mbps,51507 kB/s
35.230.79.26,443,35.212.237.223,US,Seattle,隧道,48 ms,566 Mbps,72499 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,51 ms,526 Mbps,67379 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,54 ms,434 Mbps,55603 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,117 ms,176 Mbps,22630 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,124 ms,221 Mbps,28364 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,121 ms,46 Mbps,6014 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,127 ms,172 Mbps,22118 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,118 ms,48 Mbps,6223 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,144 ms,46 Mbps,5959 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,141 ms,46 Mbps,6007 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,139 ms,160 Mbps,20480 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,144 ms,36 Mbps,4690 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,171 ms,43 Mbps,5544 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,114 ms,42 Mbps,5484 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,205 ms,79 Mbps,10137 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,162 ms,124 Mbps,15872 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,194 ms,18 Mbps,2371 kB/s
