中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,34 ms,568 Mbps,72806 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,23 ms,60 Mbps,7738 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,68 ms,60 Mbps,7798 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,244 Mbps,31334 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,68 ms,264 Mbps,33894 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,22 ms,514 Mbps,65843 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,72 ms,280 Mbps,35840 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,67 ms,289 Mbps,37068 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,86 ms,42 Mbps,5497 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,207 Mbps,26521 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,71 ms,268 Mbps,34406 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,29 ms,416 Mbps,53350 kB/s
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,259 Mbps,33177 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,124 ms,262 Mbps,33587 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,7 ms,638 Mbps,81715 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,73 ms,322 Mbps,41267 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,339 Mbps,43417 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,64 ms,328 Mbps,42086 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,244 Mbps,31334 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,63 ms,51 Mbps,6575 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,114 ms,92 Mbps,11878 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,68 ms,308 Mbps,39424 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,colo.txt:Los Angeles,隧道,0 ms,47 Mbps,6032 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,230 Mbps,29491 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,70 ms,323 Mbps,41369 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,73 ms,320 Mbps,40960 kB/s
140.238.212.95,443,140.238.212.95,CH,Milan,中转,96 ms,46 Mbps,5992 kB/s
193.123.59.222,443,2a0b:21c0:1007:ca:0:67e2:dc0:130,DE,Frankfurt,隧道,89 ms,244 Mbps,31232 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,93 ms,224 Mbps,28672 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,140 ms,316 Mbps,40448 kB/s
131.186.60.210,443,2603:c021:8002:900:8479:146e:b870:4762,JP,Tokyo,隧道,213 ms,36 Mbps,4619 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,62 ms,117 Mbps,15052 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,97 ms,225 Mbps,28876 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,72 ms,298 Mbps,38195 kB/s
130.61.11.98,443,2a0b:21c0:100a:1b7:0:dc10:571a:55da,DE,Frankfurt,隧道,94 ms,240 Mbps,30720 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,73 ms,42 Mbps,5420 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,185 ms,51 Mbps,6607 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,65 ms,46 Mbps,5888 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,85 ms,212 Mbps,27136 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,90 ms,86 Mbps,11059 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,85 ms,13 Mbps,1683 kB/s
132.226.31.178,443,2a09:bac5:60e9:1846::26b:8f,US,Los Angeles,隧道,74 ms,40 Mbps,5193 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,85 ms,219 Mbps,28057 kB/s
140.238.23.148,443,2a09:bac5:4750:1a14::299:4f,KR,Seoul,隧道,193 ms,32 Mbps,4116 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,195 ms,84 Mbps,10752 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,49 ms,38 Mbps,4910 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,223 ms,2 Mbps,260 kB/s
146.56.161.229,443,146.56.161.229,KR,Seoul,中转,193 ms,83 Mbps,10649 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,215 ms,31 Mbps,3977 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,87 ms,202 Mbps,25907 kB/s
146.56.41.215,443,146.56.41.215,KR,Seoul,中转,193 ms,79 Mbps,10137 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,163 ms,120 Mbps,15360 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,96 ms,45 Mbps,5835 kB/s
150.230.238.226,443,150.230.238.226,IN,Mumbai,中转,189 ms,79 Mbps,10137 kB/s
146.56.179.91,443,146.56.179.91,KR,Seoul,中转,196 ms,75 Mbps,9679 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,216 ms,33 Mbps,4273 kB/s
140.238.18.74,443,140.238.18.74,KR,Seoul,中转,200 ms,38 Mbps,4989 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,70 ms,303 Mbps,38809 kB/s
193.122.58.158,443,193.122.58.158,DE,Düsseldorf,中转,142 ms,31 Mbps,4041 kB/s
129.159.130.38,443,129.159.130.38,IL,Milan,中转,132 ms,37 Mbps,4857 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,187 ms,39 Mbps,5091 kB/s
193.123.235.59,443,193.123.235.59,KR,Seoul,中转,196 ms,79 Mbps,10137 kB/s
144.22.252.124,443,144.22.252.124,BR,S
