中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,6 ms,217 Mbps,27852 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,22 ms,1016 Mbps,130048 kB/s
35.230.79.26,443,35.212.133.201,US,Seattle,隧道,24 ms,625 Mbps,80076 kB/s
35.197.23.75,443,35.212.133.201,US,Seattle,隧道,33 ms,537 Mbps,68812 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,3 ms,800 Mbps,102400 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,34 ms,682 Mbps,87347 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,75 ms,290 Mbps,37171 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,79 ms,48 Mbps,6199 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,67 ms,47 Mbps,6030 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,112 ms,42 Mbps,5499 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,216 Mbps,27648 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,64 ms,329 Mbps,42188 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,148 ms,110 Mbps,14131 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,65 ms,296 Mbps,37990 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,170 ms,34 Mbps,4459 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,108 ms,5 Mbps,640 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,167 ms,124 Mbps,15872 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,112 ms,50 Mbps,6460 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,117 ms,50 Mbps,6525 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,153 ms,42 Mbps,5472 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,136 ms,144 Mbps,18432 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,171 ms,122 Mbps,15667 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,171 ms,31 Mbps,4002 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,142 ms,47 Mbps,6065 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,142 ms,44 Mbps,5758 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,159 ms,35 Mbps,4529 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,232 ms,76 Mbps,9828 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,176 ms,43 Mbps,5528 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,173 ms,39 Mbps,5079 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,183 ms,3 Mbps,414 kB/s
130.162.144.191,443,2a09:bac5:4733:1482::20b:a5,KR,Seoul,隧道,146 ms,40 Mbps,5159 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,163 ms,128 Mbps,16486 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,224 ms,30 Mbps,3916 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,192 ms,40 Mbps,5242 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,131 ms,41 Mbps,5288 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,160 ms,142 Mbps,18227 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,175 ms,4 Mbps,551 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,161 ms,41 Mbps,5318 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,217 ms,33 Mbps,4318 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,1137 ms,38 Mbps,4991 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,264 ms,23 Mbps,2964 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,351 ms,0 Mbps,11 kB/s
