中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,499 Mbps,63897 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,61 ms,424 Mbps,54374 kB/s
35.197.23.75,443,35.212.162.172,US,Seattle,隧道,49 ms,188 Mbps,24166 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,24 ms,57 Mbps,7340 kB/s
34.82.76.253,443,34.168.231.76,US,Seattle,隧道,51 ms,359 Mbps,45977 kB/s
129.146.7.98,443,2a09:bac5:60e9:78::c:366,US,Los Angeles,隧道,49 ms,91 Mbps,11673 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,59 ms,368 Mbps,47206 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,24 ms,848 Mbps,108544 kB/s
35.230.79.26,443,35.212.162.172,US,Seattle,隧道,50 ms,488 Mbps,62464 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,22 ms,1152 Mbps,147456 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,53 ms,436 Mbps,55808 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,66 ms,223 Mbps,28569 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,105 ms,182 Mbps,23347 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,112 ms,179 Mbps,22937 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,215 Mbps,27545 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,111 ms,48 Mbps,6187 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,114 ms,49 Mbps,6272 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,117 ms,172 Mbps,22016 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,116 ms,50 Mbps,6511 kB/s
143.47.176.251,443,2a0b:21c0:1007:1c9:0:c3db:6fbd:c07e,DE,Frankfurt,隧道,111 ms,233 Mbps,29900 kB/s
152.70.52.84,443,2a0b:21c0:1007:1ca:0:ff92:92e2:5000,DE,Frankfurt,隧道,117 ms,232 Mbps,29798 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,117 ms,47 Mbps,6100 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,155 ms,46 Mbps,5925 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,157 ms,142 Mbps,18227 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,157 ms,3 Mbps,507 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,157 ms,30 Mbps,3934 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,179 ms,96 Mbps,12288 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,118 ms,42 Mbps,5491 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,189 ms,40 Mbps,5155 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,193 ms,35 Mbps,4583 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,220 ms,36 Mbps,4681 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,234 ms,2 Mbps,311 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,219 ms,3 Mbps,510 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,211 ms,34 Mbps,4431 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,209 ms,2 Mbps,291 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,124 ms,0 Mbps,34 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,1249 ms,19 Mbps,2550 kB/s
8.219.95.212,443,8.222.240.96,SG,Singapore,隧道,279 ms,13 Mbps,1702 kB/s
