中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,9 ms,6 Mbps,824 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,18 ms,783 Mbps,100249 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,57 ms,361 Mbps,46284 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,54 ms,364 Mbps,46592 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,64 ms,342 Mbps,43827 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,263 Mbps,33689 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,216 Mbps,27750 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,70 ms,384 Mbps,49254 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,488 Mbps,62464 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,87 ms,48 Mbps,6222 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,262 Mbps,33587 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,235 Mbps,30105 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,103 ms,49 Mbps,6335 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,93 ms,47 Mbps,6139 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,166 ms,138 Mbps,17715 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,169 ms,41 Mbps,5344 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,170 ms,40 Mbps,5215 kB/s
150.230.63.93,443,150.230.63.93,39 Mbps,5068 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,228 ms,36 Mbps,4710 kB/s
150.230.107.89,443,2602:ffe4:407:20d9:0:436f:8bf8:ddad,SG,Singapore,隧道,234 ms,55 Mbps,7043 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,257 ms,17 Mbps,2285 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,197 ms,0 Mbps,106 kB/s
