中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,16 ms,1328 Mbps,169984 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,19 ms,362 Mbps,46387 kB/s
35.197.23.75,443,35.212.176.58,US,Seattle,隧道,36 ms,539 Mbps,69017 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,39 ms,425 Mbps,54476 kB/s
35.230.79.26,443,35.212.176.58,US,Seattle,隧道,37 ms,469 Mbps,60108 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,20 ms,872 Mbps,111616 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,51 ms,410 Mbps,52531 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,61 ms,3 Mbps,452 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,35 ms,562 Mbps,71987 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,116 ms,44 Mbps,5697 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,122 ms,44 Mbps,5665 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,123 ms,44 Mbps,5675 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,108 ms,42 Mbps,5423 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,143 ms,126 Mbps,16179 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,146 ms,147 Mbps,18841 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,123 ms,210 Mbps,26931 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,121 ms,40 Mbps,5137 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,137 ms,164 Mbps,21094 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,149 ms,38 Mbps,4991 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,141 ms,50 Mbps,6456 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,178 ms,29 Mbps,3744 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,160 ms,39 Mbps,5109 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,1165 ms,0 Mbps,25 kB/s
