中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,13 ms,700 Mbps,89702 kB/s
129.146.7.98,443,2a09:bac5:60ea:1173::1bd:ea,US,Los Angeles,隧道,21 ms,120 Mbps,15360 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,21 ms,968 Mbps,123904 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,3 ms,27 Mbps,3482 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,18 ms,67 Mbps,8579 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,40 ms,340 Mbps,43520 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,40 ms,824 Mbps,105472 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,27 ms,920 Mbps,117760 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,6 ms,2080 Mbps,266240 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,18 ms,6 Mbps,775 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,48 ms,45 Mbps,5851 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,680 Mbps,87040 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,63 ms,425 Mbps,54476 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,80 ms,299 Mbps,38297 kB/s
129.153.203.62,443,129.153.203.62,US,Los Angeles,中转,47 ms,450 Mbps,57651 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,19 ms,58 Mbps,7434 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,160 ms,118 Mbps,15155 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,157 ms,27 Mbps,3492 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,155 ms,132 Mbps,16896 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,177 ms,0 Mbps,33 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,161 ms,108 Mbps,13926 kB/s
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,85 ms,30 Mbps,3930 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,191 ms,43 Mbps,5551 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,139 ms,140 Mbps,17920 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:11b,KR,Seoul,隧道,151 ms,138 Mbps,17715 kB/s
47.245.92.236,443,8.222.222.65,SG,Singapore,隧道,199 ms,97 Mbps,12492 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,128 ms,44 Mbps,5757 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,2 ms,1912 Mbps,244736 kB/s
8.222.203.249,443,47.245.84.175,SG,Singapore,隧道,183 ms,96 Mbps,12390 kB/s
8.219.145.231,443,8.222.210.246,SG,Singapore,隧道,177 ms,88 Mbps,11366 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,183 ms,28 Mbps,3659 kB/s
8.219.250.5,443,47.236.58.234,SG,Singapore,隧道,175 ms,92 Mbps,11878 kB/s
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,200 ms,37 Mbps,4738 kB/s
140.238.33.161,443,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,181 ms,96 Mbps,12288 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,176 ms,95 Mbps,12185 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,223 ms,18 Mbps,2367 kB/s
138.3.254.39,443,138.3.254.39,92 Mbps,11878 kB/s
129.154.60.48,443,129.154.60.48,KR,Seoul,中转,155 ms,150 Mbps,19251 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,135 ms,147 Mbps,18841 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,180 ms,3 Mbps,457 kB/s
8.222.242.95,443,47.236.58.234,SG,Singapore,隧道,205 ms,102 Mbps,13107 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,67 ms,50 Mbps,6525 kB/s
8.212.44.95,443,47.76.21.93,HK,Hong Kong,隧道,188 ms,102 Mbps,13107 kB/s
8.219.106.223,443,47.236.51.143,SG,Singapore,隧道,182 ms,98 Mbps,12595 kB/s
47.57.245.232,443,47.88.7.145,US,San Jose,隧道,191 ms,0 Mbps,87 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,161 ms,162 Mbps,20787 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,182 ms,140 Mbps,17920 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,67 ms,287 Mbps,36761 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,142 ms,5 Mbps,741 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,38 ms,448 Mbps,57344 kB/s
8.222.229.75,443,47.236.1.53,SG,Singapore,隧道,208 ms,90 Mbps,11571 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,152 ms,117 Mbps,15052 kB/s
8.219.96.119,443,47.245.125.52,SG,Singapore,隧道,173 ms,100 Mbps,12902 kB/s
8.219.142.195,443,47.245.125.52,SG,Singapore,隧道,169 ms,88 Mbps,11264 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,143 ms,42 Mbps,5455 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,169 ms,109 Mbps,14028 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,167 ms,120 Mbps,15360 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,192 ms,82 Mbps,10547 kB/s
8.219.205.174,443,8.222.207.55,SG,Singapore,隧道,201 ms,97 Mbps,12492 kB/s
8.219.245.66,443,47.245.125.52,SG,Singapore,隧道,197 ms,94 Mbps,12083 kB/s
8.219.9.49,443,8.222.236.107,SG,Singapore,隧道,170 ms,88 Mbps,11366 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,186 ms,105 Mbps,13516 kB/s
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,171 ms,37 Mbps,4808 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,156 ms,128 Mbps,16384 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,152 ms,2 Mbps,365 kB/s
8.222.228.144,443,47.245.125.52,SG,Singapore,隧道,183 ms,90 Mbps,11571 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,238 ms,81 Mbps,10444 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,103 ms,50 Mbps,6454 kB/s
8.219.146.174,443,47.245.84.175,SG,Singapore,隧道,183 ms,93 Mbps,11980 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,29 ms,1008 Mbps,129024 kB/s
