中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,69 ms,366 Mbps,46899 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,44 ms,604 Mbps,77414 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,221 ms,86 Mbps,11059 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,78 ms,337 Mbps,43212 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,88 ms,350 Mbps,44851 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,24 ms,6 Mbps,835 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,108 ms,224 Mbps,28672 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,112 ms,46 Mbps,5956 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,97 ms,42 Mbps,5442 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,35 ms,587 Mbps,75161 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,81 ms,277 Mbps,35532 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,80 ms,464 Mbps,59494 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,91 ms,236 Mbps,30310 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,118 ms,284 Mbps,36352 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,82 ms,20 Mbps,2640 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,96 ms,165 Mbps,21196 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,109 ms,44 Mbps,5669 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,74 ms,379 Mbps,48537 kB/s
143.47.244.160,443,2a0b:21c0:100a:1b1:0:39a0:cdd:d0a1,DE,Frankfurt,隧道,108 ms,204 Mbps,26112 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,108 ms,264 Mbps,33792 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,95 ms,284 Mbps,36352 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,98 ms,312 Mbps,39936 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,103 ms,50 Mbps,6494 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,22 ms,78 Mbps,10035 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,77 ms,209 Mbps,26828 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,38 ms,61 Mbps,7888 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,72 ms,316 Mbps,40448 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,18 ms,17 Mbps,2211 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,204 Mbps,26112 kB/s
