中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,4 Mbps,634 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,315 Mbps,40345 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,1 ms,9 Mbps,1185 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,7 ms,773 Mbps,99020 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,66 ms,406 Mbps,52019 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,41 ms,662 Mbps,84787 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,78 ms,46 Mbps,5983 kB/s
35.197.23.75,443,35.212.191.179,US,Seattle,隧道,68 ms,409 Mbps,52428 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,96 ms,235 Mbps,30105 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,99 ms,302 Mbps,38707 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,507 Mbps,64921 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26a:85,US,Los Angeles,隧道,72 ms,86 Mbps,11059 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,81 ms,341 Mbps,43724 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,78 ms,300 Mbps,38502 kB/s
35.230.79.26,443,35.212.191.179,US,Seattle,隧道,78 ms,399 Mbps,51097 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,99 ms,246 Mbps,31539 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,98 ms,49 Mbps,6368 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,35 ms,4 Mbps,566 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,78 ms,71 Mbps,9207 kB/s
47.90.141.204,443,91.149.239.198,US,Los Angeles,隧道,25 ms,32 Mbps,4197 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,99 ms,45 Mbps,5832 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,98 ms,46 Mbps,5910 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,111 ms,265 Mbps,33996 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,108 ms,303 Mbps,38809 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,95 ms,216 Mbps,27648 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,77 ms,302 Mbps,38707 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,98 ms,19 Mbps,2468 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,116 ms,196 Mbps,25088 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,177 ms,120 Mbps,15360 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,129 ms,30 Mbps,3865 kB/s
168.138.149.17,443,168.138.149.17,BR,S
