中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,296 Mbps,37990 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,30 ms,715 Mbps,91545 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,121 ms,80 Mbps,10240 kB/s
198.46.188.190,443,2a09:bac5:a5f9:1ed2::312:2b,US,Toronto,隧道,78 ms,116 Mbps,14848 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,17 ms,1048 Mbps,134144 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,18 ms,1096 Mbps,140288 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,44 ms,578 Mbps,74035 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,64 ms,984 Mbps,125952 kB/s
193.122.197.111,443,193.122.197.111,,Ashburn,中转,0 ms,309 Mbps,39628 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,39 ms,319 Mbps,40857 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,18 ms,84 Mbps,10854 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,53 ms,1 Mbps,210 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,36 ms,567 Mbps,72601 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,37 ms,537 Mbps,68812 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,64 ms,141 Mbps,18124 kB/s
192.18.141.27,443,192.18.141.27,US,San Jose,中转,17 ms,79 Mbps,10137 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,48 ms,557 Mbps,71372 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,64 ms,312 Mbps,40038 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,50 ms,363 Mbps,46489 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,60 ms,316 Mbps,40550 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,176 ms,162 Mbps,20787 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,19 ms,0 Mbps,84 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,39 ms,65 Mbps,8445 kB/s
132.226.31.178,443,2a09:bac1:76a0:e18::26a:33,US,Los Angeles,隧道,38 ms,48 Mbps,6197 kB/s
