中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,27 ms,1280 Mbps,163840 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,19 ms,1208 Mbps,154624 kB/s
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,37 ms,623 Mbps,79769 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,39 ms,568 Mbps,72704 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,21 ms,1232 Mbps,157696 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,21 ms,800 Mbps,102400 kB/s
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,37 ms,557 Mbps,71372 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,36 ms,509 Mbps,65228 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,53 ms,411 Mbps,52633 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,124 ms,45 Mbps,5831 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,119 ms,192 Mbps,24678 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,121 ms,43 Mbps,5599 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,95 ms,3 Mbps,426 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,125 ms,39 Mbps,5077 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,134 ms,41 Mbps,5350 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,140 ms,130 Mbps,16691 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,151 ms,50 Mbps,6409 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,151 ms,148 Mbps,19046 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,148 ms,138 Mbps,17715 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,200 ms,38 Mbps,4990 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,137 ms,40 Mbps,5206 kB/s
8.219.97.136,443,8.219.116.219,SG,Seattle,隧道,189 ms,11 Mbps,1517 kB/s
