中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,623 Mbps,79769 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,353 Mbps,45260 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,368 Mbps,47206 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,82 ms,396 Mbps,50688 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,69 ms,279 Mbps,35737 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,91 ms,50 Mbps,6441 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,93 ms,48 Mbps,6162 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,77 ms,383 Mbps,49049 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,71 ms,377 Mbps,48332 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,101 ms,214 Mbps,27443 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,84 ms,276 Mbps,35430 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,125 ms,264 Mbps,33792 kB/s
152.70.52.84,443,163.123.193.4,DE,Frankfurt,隧道,94 ms,229 Mbps,29388 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,103 ms,202 Mbps,25907 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,172 ms,39 Mbps,5040 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,208 ms,33 Mbps,4335 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,185 ms,38 Mbps,4907 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,102 ms,0 Mbps,62 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,200 ms,34 Mbps,4392 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,225 ms,36 Mbps,4628 kB/s
131.186.33.175,443,2602:ffe4:407:21d9:0:1049:9da0:b3,SG,Singapore,隧道,230 ms,56 Mbps,7180 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,239 ms,10 Mbps,1301 kB/s
3.112.21.102,443,3.112.21.102,JP,Osaka,中转,244 ms,57 Mbps,7317 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,289 ms,0 Mbps,8 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,207 ms,73 Mbps,9362 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,201 ms,24 Mbps,3077 kB/s
