中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,225 ms,2 Mbps,327 kB/s,327.0
146.56.161.229,443,146.56.161.229,KR,Seoul,中转,187 ms,2 Mbps,319 kB/s,319.0
47.89.182.61,443,47.251.149.48,US,San Jose,隧道,75 ms,2 Mbps,317 kB/s,317.0
8.216.88.20,443,47.251.149.54,US,San Jose,隧道,174 ms,2 Mbps,278 kB/s,278.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,224 ms,2 Mbps,262 kB/s,262.0
8.211.197.133,443,47.251.149.55,US,San Jose,隧道,81 ms,1 Mbps,225 kB/s,225.0
47.254.157.208,443,47.251.149.52,US,San Jose,隧道,121 ms,0 Mbps,122 kB/s,122.0
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,211 ms,0 Mbps,51 kB/s,51.0
47.253.104.12,443,47.251.149.55,US,San Jose,隧道,80 ms,0 Mbps,36 kB/s,36.0
8.208.115.133,443,47.251.149.51,US,San Jose,隧道,79 ms,0 Mbps,11 kB/s,11.0
