中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,26 ms,564 Mbps,72192 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,20 ms,1008 Mbps,129024 kB/s
35.197.23.75,443,35.212.162.172,US,Seattle,隧道,52 ms,492 Mbps,63078 kB/s
34.82.76.253,443,34.168.231.76,US,Seattle,隧道,55 ms,451 Mbps,57753 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,403 Mbps,51609 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,19 ms,67 Mbps,8634 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::c:3b1,US,Los Angeles,隧道,59 ms,82 Mbps,10547 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,25 ms,65 Mbps,8407 kB/s
35.230.79.26,443,35.212.162.172,US,Seattle,隧道,49 ms,444 Mbps,56934 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,19 ms,1096 Mbps,140288 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,114 ms,199 Mbps,25497 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,338 Mbps,43315 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,109 ms,176 Mbps,22528 kB/s
143.47.176.251,443,2a0b:21c0:1007:1c7:0:3273:6368:bf50,DE,Frankfurt,隧道,111 ms,228 Mbps,29184 kB/s
130.162.186.144,443,98.98.166.170,DE,Frankfurt,隧道,113 ms,112 Mbps,14438 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,112 ms,45 Mbps,5863 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,104 ms,49 Mbps,6319 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,66 ms,310 Mbps,39731 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,133 ms,233 Mbps,29900 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,109 ms,39 Mbps,5055 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,116 ms,186 Mbps,23859 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,134 ms,47 Mbps,6026 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,176 ms,150 Mbps,19251 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,147 ms,3 Mbps,453 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,131 ms,43 Mbps,5541 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,152 ms,136 Mbps,17510 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,149 ms,41 Mbps,5289 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,150 ms,39 Mbps,5046 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,158 ms,34 Mbps,4379 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,127 ms,40 Mbps,5189 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,181 ms,93 Mbps,11980 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,201 ms,32 Mbps,4173 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,190 ms,45 Mbps,5800 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,195 ms,42 Mbps,5438 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,225 ms,20 Mbps,2612 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,204 ms,2 Mbps,296 kB/s
193.122.114.226,443,2602:ffe4:407:20da:0:22bd:b4fd:eb02,SG,Singapore,隧道,260 ms,60 Mbps,7778 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,226 ms,4 Mbps,515 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,221 ms,9 Mbps,1193 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,207 ms,1 Mbps,245 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,194 ms,0 Mbps,15 kB/s
193.123.80.245,443,193.123.80.245,AE,Paris,中转,222 ms,27 Mbps,3459 kB/s
