中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,31 ms,658 Mbps,84275 kB/s
35.197.23.75,443,35.212.231.200,US,Seattle,隧道,41 ms,598 Mbps,76595 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,22 ms,1016 Mbps,130048 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,566 Mbps,72499 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,21 ms,64 Mbps,8311 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,56 ms,625 Mbps,80076 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,26 ms,1016 Mbps,130048 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,391 Mbps,50073 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,129 ms,48 Mbps,6224 kB/s
35.230.79.26,443,35.212.231.200,US,Seattle,隧道,52 ms,596 Mbps,76390 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,78 ms,399 Mbps,51097 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,68 ms,218 Mbps,27955 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,67 ms,369 Mbps,47308 kB/s
154.23.240.232,443,154.23.240.232,US,Los Angeles,中转,27 ms,42 Mbps,5456 kB/s
129.153.203.62,443,129.153.203.62,US,Los Angeles,中转,40 ms,434 Mbps,55603 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,20 ms,69 Mbps,8914 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,164 ms,179 Mbps,22937 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,63 ms,41 Mbps,5294 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,64 ms,456 Mbps,58470 kB/s
158.101.203.1,443,2a0b:21c0:1007:1c7:0:dd9e:1c98:ad9b,DE,Frankfurt,隧道,140 ms,144 Mbps,18534 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,41 ms,483 Mbps,61849 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,22 ms,0 Mbps,27 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,147 ms,131 Mbps,16793 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,165 ms,137 Mbps,17612 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,44 ms,646 Mbps,82739 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,23 ms,60 Mbps,7737 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,204 ms,3 Mbps,415 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,129 ms,147 Mbps,18841 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,152 ms,128 Mbps,16486 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,135 ms,143 Mbps,18329 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,105 Mbps,13516 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,170 ms,184 Mbps,23552 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,158 ms,141 Mbps,18124 kB/s
132.226.18.166,443,2607:a400:a:6c:0:b4c2:c604:8fed,US,Los Angeles,隧道,179 ms,106 Mbps,13619 kB/s
152.67.156.141,443,2a0b:21c0:1007:c8:0:acb3:101b:e52,DE,Frankfurt,隧道,162 ms,83 Mbps,10649 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,110 ms,25 Mbps,3252 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,113 ms,194 Mbps,24883 kB/s
140.238.212.95,443,140.238.212.95,CH,Milan,中转,161 ms,41 Mbps,5273 kB/s
140.238.5.32,443,140.238.5.32,KR,Seoul,中转,148 ms,33 Mbps,4265 kB/s
146.56.168.75,443,2607:a400:a:6c:0:96b:fb99:7052,US,Los Angeles,隧道,217 ms,95 Mbps,12185 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,192 ms,34 Mbps,4402 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,161 ms,40 Mbps,5232 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,167 ms,38 Mbps,4917 kB/s
146.56.171.251,443,107.151.176.66,US,Los Angeles,隧道,155 ms,112 Mbps,14438 kB/s
158.178.238.239,443,104.28.254.47,SG,Singapore,隧道,194 ms,33 Mbps,4328 kB/s
149.129.8.215,443,47.88.55.210,,colo.txt:San Jose,隧道,0 ms,2 Mbps,296 kB/s
64.110.89.180,443,2607:a400:a:6c:0:22d3:8fcb:5717,US,Los Angeles,隧道,154 ms,141 Mbps,18124 kB/s
152.70.253.62,443,2607:a400:a:6b:0:fc1e:f273:c0d9,US,Los Angeles,隧道,163 ms,132 Mbps,16896 kB/s
64.110.79.188,443,64.110.79.188,KR,Seoul,中转,156 ms,142 Mbps,18227 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,115 ms,50 Mbps,6522 kB/s
129.154.60.48,443,129.154.60.48,KR,Seoul,中转,154 ms,141 Mbps,18124 kB/s
193.122.125.223,443,193.122.125.223,KR,Seoul,中转,153 ms,128 Mbps,16486 kB/s
144.21.43.21,443,2a0b:21c0:1007:c9:0:4b9d:953a:f9ba,DE,Frankfurt,隧道,135 ms,108 Mbps,13824 kB/s
146.56.148.45,443,2607:a400:a:6c:0:8b55:e4d1:ee81,US,Los Angeles,隧道,162 ms,129 Mbps,16588 kB/s
141.147.106.160,443,163.123.193.8,DE,Frankfurt,隧道,178 ms,123 Mbps,15769 kB/s
64.110.81.119,443,2607:a400:a:6c:0:f67b:ae8f:d598,US,Los Angeles,隧道,182 ms,123 Mbps,15769 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,142 ms,40 Mbps,5213 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,140 ms,44 Mbps,5702 kB/s
140.238.4.142,443,2607:a400:a:16b:0:7887:bc8d:ad3e,US,Los Angeles,隧道,188 ms,100 Mbps,12800 kB/s
146.56.173.29,443,107.151.176.66,US,Los Angeles,隧道,193 ms,120 Mbps,15360 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,187 ms,42 Mbps,5403 kB/s
140.83.39.231,443,2602:ffe4:407:21d9:0:dd42:43c1:6be8,SG,Singapore,隧道,207 ms,80 Mbps,10342 kB/s
144.22.252.124,443,144.22.252.124,BR,S
